FBgn,X114,X115,X116,X117
FBgn0003656,0.160333,0.201667,0.482,0.156
FBgn0015222,0.12763,0.284889,0.407037,0.180074
FBgn0028331,0.4725,0.2935,0.1595,0.074
FBgn0000559,0.215167,0.123208,0.179479,0.481917
FBgn0010333,0.3805,0.301,0.216,0.10275
FBgn0039665,0.2815,0.148,0.3515,0.219
FBgn0024923,0.384364,0.254636,0.198273,0.162636
FBgn0026567,0.1065,0.2015,0.53,0.16225
FBgn0030327,0.093,0.4715,0.3035,0.132
FBgn0032864,0.195,0.133,0.363,0.309
FBgn0010391,0.0915,0.309143,0.446071,0.153143
FBgn0037298,0.121,0.161,0.562,0.156
FBgn0003371,0.381467,0.2063,0.144067,0.268167
FBgn0000986,0.291,0.18,0.203,0.326
FBgn0002121,0.399429,0.263857,0.222857,0.114571
FBgn0001142,0.28,0.0666667,0.0686667,0.584667
FBgn0024352,0.452667,0.18,0.159333,0.207667
FBgn0037533,0.37325,0.25525,0.19,0.18125
FBgn0015286,0.3685,0.2615,0.2165,0.153
FBgn0034753,0.0820794,0.31827,0.461365,0.138333
FBgn0033241,0.106,0.251,0.4725,0.170667
FBgn0023529,0.0813636,0.268909,0.520182,0.129455
FBgn0037346,0.3485,0.1375,0.1425,0.3715
FBgn0037339,0.217083,0.43825,0.1935,0.151
FBgn0028665,0.276667,0.374,0.203,0.146667
FBgn0037530,0.0948261,0.273,0.48787,0.144261
FBgn0000316,0.4245,0.209,0.2145,0.152
FBgn0028342,0.316333,0.0836667,0.099,0.500667
FBgn0034936,0.263333,0.143333,0.133667,0.460333
FBgn0005391,0.103,0.177286,0.208143,0.511429
FBgn0004045,0.1126,0.3014,0.2292,0.3568
FBgn0015521,0.4355,0.3,0.144,0.1205
FBgn0030136,0.18975,0.139,0.1655,0.5055
FBgn0050085,0.131,0.123,0.205,0.541
FBgn0029823,0.313333,0.156333,0.186667,0.342667
FBgn0050193,0.114333,0.320667,0.365333,0.199333
FBgn0025615,0.107,0.284667,0.474833,0.133833
FBgn0050291,0.0901429,0.274571,0.475429,0.159857
FBgn0029818,0.101,0.292,0.456333,0.151
FBgn0050359,0.14,0.1655,0.282,0.4125
FBgn0031645,0.411,0.335,0.164,0.09
FBgn0050387,0.2275,0.282,0.272,0.219
FBgn0004646,0.206333,0.180667,0.406333,0.206333
FBgn0029913,0.199,0.18,0.249,0.371
FBgn0004132,0.072,0.263,0.52,0.145
FBgn0038194,0.113833,0.31675,0.42275,0.146583
FBgn0024947,0.1115,0.268,0.4495,0.1715
FBgn0038195,0.0833333,0.282,0.493,0.142
FBgn0029804,0.186,0.356,0.263,0.195
FBgn0051004,0.117,0.17,0.57,0.143
FBgn0039776,0.105,0.319,0.44025,0.136
FBgn0051120,0.113,0.3032,0.4434,0.1406
FBgn0046685,0.313,0.307,0.208,0.172
FBgn0011725,0.15,0.074,0.087,0.689
FBgn0051152,0.114,0.1285,0.547,0.2105
FBgn0051195,0.336,0.146,0.361,0.156
FBgn0020238,0.457,0.1995,0.2195,0.124
FBgn0003075,0.4864,0.2084,0.1478,0.158
FBgn0015794,0.159,0.353,0.327,0.161
FBgn0031464,0.12,0.335,0.407,0.138
FBgn0003177,0.393,0.204,0.214,0.189
FBgn0051363,0.328667,0.106556,0.140333,0.424444
FBgn0022708,0.289,0.09,0.141,0.48
FBgn0051450,0.346,0.099,0.067,0.487
FBgn0026761,0.37075,0.13375,0.09425,0.40125
FBgn0011219,0.312,0.3008,0.2518,0.1352
FBgn0051617,0.0706667,0.0566667,0.181333,0.691667
FBgn0025683,0.235,0.169,0.361,0.235
FBgn0031681,0.068,0.582333,0.233667,0.116
FBgn0034962,0.08725,0.28975,0.46225,0.161
FBgn0051717,0.117,0.135,0.6,0.149
FBgn0051729,0.1615,0.27275,0.33625,0.22975
FBgn0028539,0.286,0.289,0.2915,0.133
FBgn0051738,0.0795,0.299,0.4785,0.143
FBgn0004584,0.023,0.034,0.18,0.763
FBgn0034967,0.2165,0.1095,0.2305,0.4435
FBgn0040070,0.371,0.114,0.188,0.327
FBgn0051915,0.1165,0.3275,0.4155,0.1405
FBgn0031360,0.1255,0.28375,0.41175,0.179
FBgn0051938,0.165,0.1105,0.1205,0.6045
FBgn0034968,0.156,0.2854,0.2052,0.3536
FBgn0004687,0.374,0.1465,0.172,0.307
FBgn0029897,0.125,0.136667,0.279333,0.458667
FBgn0000116,0.395429,0.298429,0.201429,0.105286
FBgn0052066,0.466,0.233,0.188,0.113
